,ADANIENT.NS,ADANIPORTS.NS,APOLLOHOSP.NS,ASIANPAINT.NS,AXISBANK.NS,BAJAJ-AUTO.NS,BAJFINANCE.NS,BAJAJFINSV.NS,BEL.NS,BHARTIARTL.NS,CIPLA.NS,COALINDIA.NS,DRREDDY.NS,EICHERMOT.NS,ETERNAL.NS,GRASIM.NS,HCLTECH.NS,HDFCBANK.NS,HDFCLIFE.NS,HEROMOTOCO.NS,HINDALCO.NS,HINDUNILVR.NS,ICICIBANK.NS,INDUSINDBK.NS,INFY.NS,ITC.NS,JSWSTEEL.NS,KOTAKBANK.NS,LT.NS,M&M.NS,MARUTI.NS,NESTLEIND.NS,NTPC.NS,ONGC.NS,POWERGRID.NS,RELIANCE.NS,SBILIFE.NS,SBIN.NS,SHRIRAMFIN.NS,SUNPHARMA.NS,TATACONSUM.NS,TATASTEEL.NS,TCS.NS,TECHM.NS,TITAN.NS,TRENT.NS,ULTRACEMCO.NS,WIPRO.NS
CIPLA.NS,0.044837169177184354,0.06469258352057748,0.22635695765659336,0.09945707286264392,0.09164443506749573,0.05068368491701774,0.031353380209146305,0.08566006757459343,0.13206480397894982,0.11356477507402982,1.0,0.09041312867872385,0.35885818932518704,0.061014703733746796,0.022076373212357205,0.12328690771236275,0.05811318729288824,0.006684183209036062,0.04844649152690991,0.14212457093167,0.09682803165799626,0.0502330504550969,0.06569783575830612,0.061596793063667325,0.07846011962880456,0.10959359338497747,0.11822526024155938,0.0477769751119238,0.14352755214943974,0.10054841931299686,0.0848774631126993,0.08654823818093861,0.099196228143006,0.0572784093238002,0.10347803467481297,0.08359636729600115,0.1311554907982333,0.04022055928241915,0.08619685118849514,0.3679533924125417,0.06463747701961238,0.11343113545253916,0.08997377885519595,0.04810894729015912,0.0811605004205459,0.12069588724737432,0.07988548348950116,0.0903622308705161
COALINDIA.NS,0.3022718776517883,0.4024480071215156,0.18868763451114431,0.14287466197934878,0.3241531581379477,0.22197569186178065,0.22969582380456924,0.2685493839755117,0.541522203086916,0.2585944971581262,0.09041312867872385,1.0,0.15971399773694392,0.2663798134350029,0.18093234293927438,0.3013093644364289,0.21829377310205247,0.2565946757576654,0.16881824610071397,0.2490098591957162,0.36146627684508176,-0.010088013014905556,0.23425443864471898,0.3116374934291134,0.1062261598199742,0.16252891980580836,0.4052140834970517,0.2202135843442367,0.426604422686099,0.2694669522638105,0.25430486178917083,0.11593172458112957,0.5735079411099163,0.5793689153263667,0.4534163088367201,0.42647177526445873,0.23943548845965976,0.46027432322087897,0.3636123452626238,0.1874757130809562,0.1987994800993623,0.5007251675733653,0.12057930858213957,0.1678792107914199,0.23087495673476613,0.2340269051177708,0.27743414626843427,0.25093888283667254
DRREDDY.NS,0.07256107370800974,0.08708788784383932,0.21570539597232447,0.05999776949147165,0.06174870070864839,0.14082652396135184,0.05561303823226491,0.1438393449714152,0.10931607903039962,0.16348868883602136,0.35885818932518704,0.15971399773694392,1.0,0.1239764929848968,0.10102073259025468,0.21354684879856967,0.18258217571333968,0.13367601791283829,0.052514535050375635,0.12271451111819938,0.22499091358662937,0.09893419157896105,0.014918549546527656,0.08574313682277625,0.18670902488000293,0.17656638339023162,0.2441744206155409,-0.006958057138078594,0.1601893908906497,0.18568160584370222,0.1026563493165937,0.1715379882683605,0.17225082921481447,0.142190696977073,0.13834902909746832,0.16654727768353475,0.1810459255274988,0.10245618309495978,0.07560098228076581,0.3595286651038676,0.11914896075927427,0.1946191265212634,0.17676310314132604,0.16341601903793435,0.1108351512665284,0.12357293549847159,0.20598081719099515,0.25206485891550917
EICHERMOT.NS,0.23104550372053884,0.20723216842972478,0.2231993841221856,0.2048379276403613,0.2673076103026287,0.2816670237512778,0.12723492224086658,0.1801266693419724,0.2371336875012804,0.2694781691930977,0.061014703733746796,0.2663798134350029,0.1239764929848968,1.0,0.12931130569048344,0.3289976381623265,0.17201709734738238,0.25607553913959125,0.15491119909387288,0.2514991217133234,0.2292694224138964,0.1513172748119251,0.28568992147302924,0.24048822976417258,0.1235490901253216,0.1996447943312419,0.2816305413819069,0.22235640532971818,0.24656380112893922,0.353757602624654,0.358019771645851,0.15253255111227024,0.24731541000407262,0.2323812178929817,0.17943402874836392,0.31445828316016083,0.2690732198820978,0.28284681457873345,0.2762343621519888,0.146730797569673,0.18672994194426754,0.28716193442305704,0.14133938133752136,0.16360932756038926,0.2202703810099292,0.2322871442840553,0.23424627135250756,0.21976891399285675
ETERNAL.NS,0.2175911245174521,0.2510732624623112,0.2018814301714432,0.10926363184048553,0.13168342839405114,0.12814595619672708,0.18463588857932314,0.16097323334933997,0.18587032208011847,0.13525255844853862,0.022076373212357205,0.18093234293927438,0.10102073259025468,0.12931130569048344,1.0,0.12548889857577292,0.13046485250356446,0.23346230886299035,0.1631467003345562,0.15045999723643946,0.18308406827365584,0.04506039715329449,0.130348282820422,0.15357233626271038,0.15440977617287888,0.08818763644171931,0.13829901338516895,0.14551420537190968,0.1388163331432394,0.18495580306082926,0.11653000413835869,0.12248979379298955,0.12431124001960123,0.1251897436402426,0.13475943919010236,0.17379369062651112,0.18878360905945352,0.191837935917966,0.20284917830530141,0.15495435548601816,0.059953196634901416,0.13529074333781566,0.13599721724260538,0.1612754603729162,0.13687590573184555,0.10656558589094027,0.16994164719000596,0.1498323084624291
GRASIM.NS,0.2322260851487413,0.3209178336385978,0.25976242100357405,0.2889567984289867,0.34657540611396725,0.20082531477927548,0.329932410263594,0.3706455548594452,0.3165219238533012,0.2863830648305181,0.12328690771236275,0.3013093644364289,0.21354684879856967,0.3289976381623265,0.12548889857577292,1.0,0.1838893513842644,0.30972888891476874,0.2185031451385837,0.25528874760830944,0.4042486684589063,0.18090038154250454,0.3756711100464377,0.2989625415166857,0.16720072558553256,0.23417034555552818,0.4760860598222935,0.2735877100502768,0.30943559186760866,0.3125081228025529,0.2878105022330067,0.26228972196720046,0.36568847610430183,0.32057329273528334,0.31537531710201844,0.40785010606006467,0.2512209988609815,0.4087993739937938,0.2883828313478307,0.22317633131568798,0.3131408465973735,0.43301363474277,0.19376491033722018,0.16731606540956803,0.34671132297414875,0.24739871234577965,0.5704127862122806,0.2538047842414844
HCLTECH.NS,0.12809325194147891,0.15623329972820424,0.20656353561071095,0.11547225225432338,0.1325254914583849,0.12290770045361334,0.17330112671363282,0.2197293609069887,0.20734527293212254,0.2375467688168692,0.05811318729288824,0.21829377310205247,0.18258217571333968,0.17201709734738238,0.13046485250356446,0.1838893513842644,1.0,0.11299141961577863,0.13112525412770556,0.1342361145773408,0.25362950120331557,0.18901146252930792,0.12833291234886546,0.1538268110676427,0.6625603698383817,0.1623190718489335,0.238414961906197,0.1423727935193527,0.19166417012171053,0.2045393978153009,0.20147466570136277,0.14303904878518184,0.17095538009974048,0.18286738557625856,0.08085202879416825,0.2623011870759475,0.2144377678821819,0.19538220939438478,0.17204691392284333,0.14025299132001556,0.21120510857047115,0.2695782154280661,0.6350322729589348,0.5289183023278189,0.1694980137762273,0.1770100806312299,0.21659734232841107,0.589577921364371
HDFCBANK.NS,0.21843955972439053,0.30069207964671724,0.09282617333903274,0.2058167737288859,0.39531333120348117,0.14917953791047417,0.3089588859704793,0.31221599734862193,0.2844267222009939,0.2268583764276259,0.006684183209036062,0.2565946757576654,0.13367601791283829,0.25607553913959125,0.23346230886299035,0.30972888891476874,0.11299141961577863,1.0,0.1870298865777407,0.1052256036611545,0.26077447956945926,0.09224391973436144,0.4215911206905566,0.34876864828379395,0.17098171600114287,0.10469677016335649,0.35421720192118783,0.37874963883409773,0.3310633863086947,0.3013475821584495,0.17387253264061914,0.07840491132919168,0.30622545478797675,0.2486070487807877,0.24246646212225462,0.3375483967666233,0.21256849485050386,0.35468953166638456,0.2758930697489869,0.09321297133900106,0.14934497090258866,0.3517903445274055,0.1299236978116336,0.1887495953630551,0.19638303240270152,0.12607466347797497,0.3152904810205616,0.24083680725944231
HDFCLIFE.NS,0.2883974712598219,0.2884472356931897,0.11681742715231645,0.17368283113098068,0.2135952186385747,0.17104623226712146,0.2476444042529852,0.3308161288849678,0.20519581863227063,0.15936315836856985,0.04844649152690991,0.16881824610071397,0.052514535050375635,0.15491119909387288,0.1631467003345562,0.2185031451385837,0.13112525412770556,0.1870298865777407,1.0,0.2014634373748142,0.18596849071578178,0.13197997753271667,0.15797841339156504,0.20904630499382235,0.07567744965124294,0.08146934978331294,0.19770653177954337,0.1780640908732324,0.17075396300793363,0.18717119924379133,0.21980512538985006,0.13425025203004146,0.16555961503662942,0.1487519141889332,0.08430372436870305,0.22037991976498403,0.5931987581736798,0.2385858038415553,0.20144570290014482,0.14741457416266457,0.19234550262627664,0.20320220253959762,0.11229023535027016,0.11538019666847735,0.22032357388599744,0.14390428380958498,0.1905079319685188,0.16715239275409768
HEROMOTOCO.NS,0.16141733562225086,0.21331049672377905,0.20225685742212166,0.14987074093209302,0.1633591630187993,0.40486010378312504,0.1619446252157601,0.23701556748539215,0.15186866604441063,0.1765748743505273,0.14212457093167,0.2490098591957162,0.12271451111819938,0.2514991217133234,0.15045999723643946,0.25528874760830944,0.1342361145773408,0.1052256036611545,0.2014634373748142,1.0,0.23287919029508236,0.2034672858328913,0.15726166972763456,0.18335560947734336,0.09314281949755814,0.11820664248786181,0.19519288432189477,0.13963459003230347,0.20145316050671988,0.3282801478880167,0.29457592580506403,0.22576471133497367,0.1814937068107916,0.21200428733409968,0.1810917702173617,0.216633382912502,0.2071124304978861,0.19976404258507552,0.24531012218470105,0.19653982097203443,0.20828555921400804,0.2771318076727695,0.13842276950005114,0.11538114553432581,0.2686119744310227,0.1960902246161747,0.256228572192151,0.19973245242237808
