Risk,Return,Type
0.12392614023939783,0.13254928183106207,Simulated
0.11637462473301316,0.1288270911958986,Simulated
0.14226212195817517,0.13044054064354527,Simulated
0.12352113778072911,0.13128087787470627,Simulated
0.12222101203373983,0.1289332237354684,Simulated
0.1393470638727193,0.1310468959558998,Simulated
0.12214088425894781,0.13002474492796343,Simulated
0.1380085974065678,0.13081635138051004,Simulated
0.12450598677822225,0.13133916410810617,Simulated
0.12545205182014355,0.1308404584407691,Simulated
0.12915731354701843,0.13100636211545094,Simulated
0.13086004994675618,0.12949946272032611,Simulated
0.13006871184306898,0.13136601035095666,Simulated
0.13921631157771677,0.1288487727593217,Simulated
0.13140486170463586,0.130511331151379,Simulated
0.14960794252194082,0.1293142891704068,Simulated
0.13656761005395293,0.13017627261840958,Simulated
0.12795081144828846,0.13069738090783892,Simulated
0.14048716362799799,0.12977357119906321,Simulated
0.13453676358416852,0.12788896641890965,Simulated
0.13630568432729634,0.12784068861641565,Simulated
0.1308303848046399,0.131175689167772,Simulated
0.14075457644873438,0.13106180626569477,Simulated
0.15683294437695044,0.1286997086394389,Simulated
0.12088216197278295,0.12931822970158005,Simulated
0.1304567259348324,0.13115124745836051,Simulated
0.13010751935398537,0.13095422280197305,Simulated
0.12934565006542648,0.13132597467408136,Simulated
0.12575927602883336,0.13035325778933093,Simulated
0.12085302641657289,0.12917663925437378,Simulated
0.13463373488711575,0.13008351304364202,Simulated
0.13300160823364435,0.13039504190700077,Simulated
0.12563783584948224,0.129450172307815,Simulated
0.1407346212491496,0.1313878065714421,Simulated
0.12725950206191192,0.1318852267268579,Simulated
0.13133306991840019,0.1310644282088894,Simulated
0.13343627169843553,0.12928917322588276,Simulated
0.14638623363390668,0.13039528303262785,Simulated
0.13127890971547804,0.1301399247635388,Simulated
0.133132172938488,0.13010638336405,Simulated
0.11538049620925132,0.12778032887259277,Simulated
0.12388777298803857,0.1298574850951095,Simulated
0.12612195294166959,0.1327949089710582,Simulated
0.12396251454134014,0.13129001672769328,Simulated
